,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,PERIOD,EPOCH,AGE / STAGE,Age (Ma),87Sr/86Sr mean,87Sr/8Sr min,87sr/86Sr max,Half-width interval,rate of change,extrapolated
,,Neogene,Miocene ,Messinian,5.85,0.708997,0.708982,0.709011,14,66,
,,Neogene,Miocene ,Messinian,5.90,0.708993,0.708979,0.709007,14,67,
,,Neogene,Miocene ,Messinian,5.95,0.708990,0.708975,0.709004,15,67,
,,Neogene,Miocene ,Messinian,6.00,0.708986,0.708971,0.709001,15,67,
,,Neogene,Miocene ,Messinian,6.05,0.708983,0.708968,0.708998,15,66,
,,Neogene,Miocene ,Messinian,6.10,0.708979,0.708965,0.708994,14,65,
,,Neogene,Miocene ,Messinian,6.15,0.708976,0.708963,0.708989,13,64,
,,Neogene,Miocene ,Messinian,6.20,0.708973,0.708962,0.708984,11,62,
,,Neogene,Miocene ,Messinian,6.25,0.708970,0.708959,0.708981,11,60,
,,Neogene,Miocene ,Messinian,6.30,0.708967,0.708956,0.708978,11,57,
,,Neogene,Miocene ,Messinian,6.35,0.708964,0.708954,0.708975,11,55,
,,Neogene,Miocene ,Messinian,6.40,0.708962,0.708951,0.708972,10,52,
,,Neogene,Miocene ,Messinian,6.45,0.708959,0.708950,0.708969,10,49,
,,Neogene,Miocene ,Messinian,6.50,0.708957,0.708948,0.708966,9,46,
,,Neogene,Miocene ,Messinian,6.55,0.708955,0.708945,0.708965,10,43,
,,Neogene,Miocene ,Messinian,6.60,0.708953,0.708943,0.708963,10,41,
,,Neogene,Miocene ,Messinian,6.65,0.708951,0.708941,0.708961,10,38,
,,Neogene,Miocene ,Messinian,6.70,0.708949,0.708939,0.708959,10,36,
,,Neogene,Miocene ,Messinian,6.75,0.708948,0.708937,0.708957,10,35,
,,Neogene,Miocene ,Messinian,6.80,0.708946,0.708936,0.708956,10,33,
,,Neogene,Miocene ,Messinian,6.85,0.708944,0.708934,0.708954,10,32,
,,Neogene,Miocene ,Messinian,6.90,0.708943,0.708933,0.708952,10,30,
,,Neogene,Miocene ,Messinian,6.95,0.708941,0.708932,0.708951,10,29,
,,Neogene,Miocene ,Messinian,7.00,0.708940,0.708931,0.708950,9,27,
,,Neogene,Miocene ,Messinian,7.05,0.708939,0.708930,0.708948,9,26,
,,Neogene,Miocene ,Messinian,7.10,0.708937,0.708929,0.708947,9,25,
,,Neogene,Miocene ,Messinian,7.15,0.708936,0.708928,0.708946,9,23,
,,Neogene,Miocene ,Messinian,7.20,0.708935,0.708927,0.708945,9,21,
,,Neogene,Miocene ,Messinian,7.25,0.708934,0.708926,0.708944,9,20,
,,Neogene,Miocene ,Tortonian,7.30,0.708933,0.708925,0.708942,9,19,
,,Neogene,Miocene ,Tortonian,7.35,0.708933,0.708925,0.708942,8,18,
,,Neogene,Miocene ,Tortonian,7.40,0.708932,0.708924,0.708941,8,16,
,,Neogene,Miocene ,Tortonian,7.45,0.708931,0.708923,0.708940,8,16,
,,Neogene,Miocene ,Tortonian,7.50,0.708930,0.708923,0.708939,8,15,
,,Neogene,Miocene ,Tortonian,7.55,0.708930,0.708922,0.708938,8,14,
,,Neogene,Miocene ,Tortonian,7.60,0.708929,0.708922,0.708937,8,13,
,,Neogene,Miocene ,Tortonian,7.65,0.708928,0.708921,0.708936,8,12,
,,Neogene,Miocene ,Tortonian,7.70,0.708928,0.708921,0.708936,8,12,
,,Neogene,Miocene ,Tortonian,7.75,0.708927,0.708920,0.708935,7,11,
,,Neogene,Miocene ,Tortonian,7.80,0.708927,0.708920,0.708934,7,11,
,,Neogene,Miocene ,Tortonian,7.85,0.708926,0.708919,0.708934,7,10,
,,Neogene,Miocene ,Tortonian,7.90,0.708926,0.708919,0.708933,7,10,
,,Neogene,Miocene ,Tortonian,7.95,0.708925,0.708918,0.708932,7,10,
,,Neogene,Miocene ,Tortonian,8.00,0.708925,0.708918,0.708932,7,9,
,,Neogene,Miocene ,Tortonian,8.05,0.708924,0.708918,0.708931,7,9,
,,Neogene,Miocene ,Tortonian,8.10,0.708924,0.708917,0.708930,7,9,
,,Neogene,Miocene ,Tortonian,8.15,0.708923,0.708917,0.708930,6,9,
,,Neogene,Miocene ,Tortonian,8.20,0.708923,0.708916,0.708929,6,9,
,,Neogene,Miocene ,Tortonian,8.25,0.708923,0.708916,0.708928,6,9,
,,Neogene,Miocene ,Tortonian,8.30,0.708922,0.708916,0.708928,6,10,
,,Neogene,Miocene ,Tortonian,8.35,0.708922,0.708915,0.708927,6,10,
,,Neogene,Miocene ,Tortonian,8.40,0.708921,0.708915,0.708926,6,10,
,,Neogene,Miocene ,Tortonian,8.45,0.708921,0.708914,0.708926,6,11,
,,Neogene,Miocene ,Tortonian,8.50,0.708920,0.708914,0.708925,6,11,
,,Neogene,Miocene ,Tortonian,8.55,0.708919,0.708913,0.708924,6,12,
,,Neogene,Miocene ,Tortonian,8.60,0.708919,0.708912,0.708924,6,12,
,,Neogene,Miocene ,Tortonian,8.65,0.708918,0.708912,0.708923,6,13,
,,Neogene,Miocene ,Tortonian,8.70,0.708918,0.708911,0.708922,5,14,
,,Neogene,Miocene ,Tortonian,8.75,0.708917,0.708911,0.708921,5,15,
,,Neogene,Miocene ,Tortonian,8.80,0.708916,0.708910,0.708921,5,15,
,,Neogene,Miocene ,Tortonian,8.85,0.708915,0.708909,0.708920,5,16,
,,Neogene,Miocene ,Tortonian,8.90,0.708914,0.708908,0.708919,5,17,
,,Neogene,Miocene ,Tortonian,8.95,0.708913,0.708908,0.708918,5,18,
,,Neogene,Miocene ,Tortonian,9.00,0.708913,0.708907,0.708917,5,19,
,,Neogene,Miocene ,Tortonian,9.05,0.708911,0.708906,0.708916,5,20,
,,Neogene,Miocene ,Tortonian,9.10,0.708910,0.708905,0.708915,5,20,
,,Neogene,Miocene ,Tortonian,9.15,0.708909,0.708904,0.708914,5,21,
,,Neogene,Miocene ,Tortonian,9.20,0.708908,0.708903,0.708913,5,21,
,,Neogene,Miocene ,Tortonian,9.25,0.708907,0.708902,0.708912,5,21,
,,Neogene,Miocene ,Tortonian,9.30,0.708906,0.708901,0.708911,5,21,
,,Neogene,Miocene ,Tortonian,9.35,0.708905,0.708900,0.708910,5,21,
,,Neogene,Miocene ,Tortonian,9.40,0.708904,0.708899,0.708909,5,21,
,,Neogene,Miocene ,Tortonian,9.45,0.708903,0.708897,0.708909,6,20,
,,Neogene,Miocene ,Tortonian,9.50,0.708902,0.708896,0.708908,6,20,
,,Neogene,Miocene ,Tortonian,9.55,0.708901,0.708895,0.708906,5,20,
,,Neogene,Miocene ,Tortonian,9.60,0.708900,0.708895,0.708905,5,20,
,,Neogene,Miocene ,Tortonian,9.65,0.708899,0.708894,0.708904,5,20,
,,Neogene,Miocene ,Tortonian,9.70,0.708898,0.708893,0.708903,5,20,
,,Neogene,Miocene ,Tortonian,9.75,0.708897,0.708892,0.708902,5,20,
,,Neogene,Miocene ,Tortonian,9.80,0.708896,0.708891,0.708901,5,20,
,,Neogene,Miocene ,Tortonian,9.85,0.708895,0.708890,0.708900,5,20,
,,Neogene,Miocene ,Tortonian,9.90,0.708894,0.708889,0.708899,5,20,
,,Neogene,Miocene ,Tortonian,9.95,0.708893,0.708888,0.708897,5,20,
,,Neogene,Miocene ,Tortonian,10.00,0.708892,0.708887,0.708896,4,20,
,,Neogene,Miocene ,Tortonian,10.05,0.708891,0.708886,0.708895,4,20,
,,Neogene,Miocene ,Tortonian,10.10,0.708890,0.708886,0.708894,4,20,
